"'s Graveland" , x, , , , , 
"'s Gravemoer" , x, , , , , 
"'s Gravendeel" , x, , , , , 
"'s Gravenhage" , x, , , , , 
"'s Gravenmoer" , , , x, , , 
"'s Gravenpolder" , x, , , , , 
"'s Gravesande" , x, , , , , 
"'s Heer-Abtskerke" , x, , , , , 
"'s Heer-Arendskerke" , x, , , , , 
"'s Heerenhoek" , x, , , , , 
"'s Hertogenbosch" , x, , x, , , 
"'s Princenhage" , , , , , x, 
"'s-Gravenmoer" , , , , , x, 
"'s-Hertogenbosch" , , , , , x, 
"'t Bildt" , x, , , , , 
"'t Zandt" , x, , , , , 
"(Geene kom)" , , , , x, , 
"10001-20000 inwoners" , , , , , x, 
"1001-2000 inwoners" , , , , , x, 
"20001-50000 inwoners" , , , , , x, 
"2001-5000 inwoners" , , , , , x, 
"500 of minder inwoners" , , , , , x, 
"5001-10000 inwoners" , , , , , x, 
"501-1000 inwoners" , , , , , x, 
"AEngwirden" , x, , , , , 
"ASSEN" , , , , , , x
"ASSENDELFT" , , , , , , x
"ASTEN" , , , , , , x
"AVEHORN" , , , , , , x
"AVEREEST" , , , , , , x
"AXEL" , , , , , , x
"Aagtekerke" , x, , , , , 
"Aalsmeer" , x, , , , , x
"Aalst" , x, x, x, x, x, x
"Aalten" , x, , , , , x
"Aar (Ter)" , x, , , , , x
"Aardenburg" , x, , , , , x
"Aarlanderveen" , x, , , , , x
"Aarle - Bistel" , , , , x, , 
"Aarle Rixtel" , x, , , , , x
"Aarle-Rixtel" , , x, x, , x, 
"Abbekerk" , x, , , , , x
"Abbenbroek" , x, , , , , x
"Abcoude - Haambrugge" , , , , , , x
"Abcoude - Proosdij" , , , , , , x
"Abcoude Baambrugge" , x, , , , , 
"Abcoude Proostdij en Aasdom" , x, , , , , 
"Ablas (Oud-)" , , , , , , x
"Ablasserdam" , , , , , , x
"Achtkarspelen" , x, , , , , x
"Achttienhoven" , x, , , , , x
"Adorp" , x, , , , , x
"Aduard" , x, , , , , x
"Aengwirden" , , , , , , x
"Akersloot" , x, , , , , x
"Alblas (Oud-)" , x, , , , , 
"Alblasserdam" , x, , , , , 
"Alem" , , , x, , , 
"Alem c.a." , , x, , , x, x
"Alem, Maren en Kessel" , , , , x, , 
"Alem, c. a." , x, , , , , 
"Alhen" , , , , x, , 
"Alkemade" , x, , , , , x
"Alkmaar" , x, , , , , x
"Almelo (Ambt)" , x, , , , , x
"Almelo (Stad)" , x, , , , , x
"Almkerk" , , x, x, x, , x
"Almkerk c.a." , , , , , x, 
"Almkerk, c. a." , x, , , , , 
"Alphen" , x, , , , , 
"Alphen c.a." , , x, x, , , 
"Alphen en Riel" , x, , , , x, 
"Alphen en Riel (N.-Br.)" , , , , , , x
"Ambij" , x, , , , , 
"Amby" , , , , , , x
"Ameide" , x, , , , , x
"Ameland" , x, , , , , x
"Amerongen" , x, , , , , x
"Amersfoort" , x, , , , , x
"Ammerstol" , x, , , , , x
"Ammerzoden" , x, , , , , x
"Amstenrade" , x, , , , , x
"Amsterdam" , x, , , , , x
"Andel" , x, x, x, , , 
"Andel c.a." , , , , , x, x
"Andijk" , x, , , , , x
"Angerlo" , x, , , , , x
"Ankeveen" , x, , , , , x
"Anlo" , x, , , , , 
"Anloo" , , , , , , x
"Anna - Paulowna" , , , , , , x
"Annaland (St.)" , , , , , , x
"Apeldoorn" , x, , , , , x
"Aplhen (Z.-H.)" , , , , , , x
"Appeltern" , x, , , , , x
"Appingedam" , x, , , , , x
"Arcen en Velden" , x, , , , , x
"Arkel" , x, , , , , x
"Arnemuiden" , x, , , , , x
"Arnhem" , x, , , , , x
"Asperen" , x, , , , , x
"Assen" , x, , , , , 
"Assendelft" , x, , , , , 
"Asten" , x, x, x, x, x, 
"Avenhorn" , x, , , , , 
"Avereest" , x, , , , , 
"Axel" , x, , , , , 
